ID,Date,Value,Category,Score,Status,Quantity,Price,Region,Priority
183,2023-07-02,9004,D,70.39,Pending,168,560.39,South,Low
184,2023-07-03,3931,C,83.14,Closed,435,164.1,North,Low
185,2023-07-04,8777,B,4.02,Closed,246,584.0,East,Medium
186,2023-07-05,1197,A,23.59,Closed,484,606.36,South,High
187,2023-07-06,8125,B,37.42,Closed,375,424.22,Central,High
188,2023-07-07,2930,C,18.26,Pending,280,388.92,North,High
189,2023-07-08,7287,C,7.29,Pending,746,253.0,West,Low
190,2023-07-09,9800,C,22.51,Active,22,337.61,West,Medium
191,2023-07-10,5282,D,53.36,Pending,714,503.36,West,High
192,2023-07-11,3511,B,69.57,Pending,68,255.18,North,Low
193,2023-07-12,1659,D,77.4,Closed,648,785.01,East,High
194,2023-07-13,3811,D,4.29,Pending,743,711.94,West,High
195,2023-07-14,8098,B,42.8,Closed,58,276.61,North,Low
196,2023-07-15,7546,C,12.22,Pending,527,106.46,Central,Low
197,2023-07-16,2986,A,43.12,Active,264,10.18,South,High
198,2023-07-17,9338,A,43.4,Closed,989,600.75,North,Medium
199,2023-07-18,3911,B,49.82,Pending,682,219.25,North,Medium
200,2023-07-19,2734,B,89.28,Pending,423,22.46,West,Low
201,2023-07-20,2843,C,80.51,Closed,499,365.49,South,High
202,2023-07-21,9680,B,63.67,Active,291,962.38,South,Low
203,2023-07-22,3976,B,88.54,Active,169,693.04,West,High
204,2023-07-23,2959,C,67.85,Pending,560,859.19,East,High
205,2023-07-24,6759,C,81.89,Pending,462,153.29,North,High
206,2023-07-25,7694,D,56.38,Pending,608,82.56,West,Low
207,2023-07-26,3385,B,52.52,Closed,839,21.41,East,Low
208,2023-07-27,5736,A,72.41,Closed,556,956.11,West,Low
209,2023-07-28,2802,B,1.97,Closed,353,307.2,Central,Low
210,2023-07-29,9155,A,69.04,Pending,240,464.91,East,Medium
211,2023-07-30,9120,A,93.45,Active,803,400.58,East,High
212,2023-07-31,7616,A,71.39,Closed,283,733.15,South,Low
213,2023-08-01,6534,D,3.68,Active,449,316.87,North,High
214,2023-08-02,5061,C,37.79,Pending,582,540.1,West,Medium
215,2023-08-03,1262,C,80.96,Closed,765,995.63,West,Low
216,2023-08-04,7287,D,95.86,Closed,66,449.62,North,Medium
217,2023-08-05,9815,C,37.02,Closed,327,555.76,North,Low
218,2023-08-06,3049,D,84.12,Pending,456,507.5,South,High
219,2023-08-07,6423,B,86.38,Pending,959,805.15,North,Medium
220,2023-08-08,5548,D,12.33,Pending,477,274.17,Central,Medium
221,2023-08-09,4108,C,84.58,Active,848,178.73,South,Low
222,2023-08-10,8158,C,32.42,Active,285,756.55,East,High
223,2023-08-11,8400,B,59.32,Closed,31,421.46,North,High
224,2023-08-12,4170,D,53.9,Closed,448,914.59,East,High
225,2023-08-13,3255,B,66.31,Pending,214,647.72,South,High
226,2023-08-14,2154,A,74.05,Pending,693,568.7,Central,Low
227,2023-08-15,5499,D,44.09,Pending,714,79.75,Central,Medium
228,2023-08-16,7295,B,88.83,Closed,580,733.11,North,Low
229,2023-08-17,7197,B,80.95,Pending,25,689.18,Central,High
230,2023-08-18,2648,C,78.54,Active,760,643.67,West,Medium
231,2023-08-19,6539,D,45.82,Active,373,275.23,South,Medium
232,2023-08-20,5199,A,3.76,Closed,397,947.27,Central,High
233,2023-08-21,9445,A,49.23,Closed,337,328.44,South,Low
234,2023-08-22,3557,D,89.84,Active,936,160.71,South,Low
235,2023-08-23,6592,D,19.05,Pending,968,987.33,West,High
236,2023-08-24,1098,B,98.26,Closed,855,748.78,North,Medium
237,2023-08-25,3200,C,80.77,Closed,903,420.64,South,Medium
238,2023-08-26,3961,C,70.98,Closed,672,936.56,West,Low
239,2023-08-27,5973,C,67.72,Active,280,100.21,Central,Medium
240,2023-08-28,5433,D,58.7,Closed,769,96.78,East,High
241,2023-08-29,3869,C,72.07,Active,623,685.63,North,Medium
242,2023-08-30,1956,B,42.19,Active,559,186.19,East,Low
243,2023-08-31,9352,D,84.53,Pending,691,917.97,West,Low
244,2023-09-01,6699,D,69.63,Pending,548,841.96,South,High
245,2023-09-02,7944,C,77.13,Pending,923,313.3,West,Low
246,2023-09-03,5493,A,79.25,Closed,198,889.95,North,High
247,2023-09-04,5911,A,9.21,Active,554,52.46,North,Medium
248,2023-09-05,4987,B,5.56,Closed,479,553.15,Central,Medium
249,2023-09-06,7015,C,80.1,Active,844,936.21,West,Medium
250,2023-09-07,2218,C,25.94,Closed,602,856.83,North,High
251,2023-09-08,5496,D,58.2,Active,857,362.51,West,Low
252,2023-09-09,5735,D,44.37,Pending,580,191.04,Central,High
253,2023-09-10,5555,C,2.2,Pending,70,218.44,Central,Medium
254,2023-09-11,9050,D,4.03,Closed,505,519.36,West,Medium
255,2023-09-12,4446,C,82.71,Active,110,600.81,North,Medium
256,2023-09-13,2045,B,60.77,Pending,382,42.49,South,Medium
257,2023-09-14,7893,D,52.38,Active,397,419.42,South,Medium
258,2023-09-15,2693,C,94.44,Closed,409,832.08,Central,High
259,2023-09-16,4436,D,17.31,Pending,351,449.89,North,Medium
260,2023-09-17,9754,B,25.8,Closed,534,177.48,Central,High
261,2023-09-18,6895,D,75.67,Closed,501,955.31,Central,High
262,2023-09-19,4354,C,77.52,Active,995,273.61,Central,Medium
263,2023-09-20,1225,D,40.49,Closed,789,800.44,Central,Medium
264,2023-09-21,5893,D,95.1,Closed,911,201.86,West,Medium
265,2023-09-22,8022,C,93.83,Active,707,428.94,West,High
266,2023-09-23,6600,A,1.24,Active,421,495.52,North,Low
267,2023-09-24,8996,D,17.23,Closed,557,505.63,North,High
268,2023-09-25,8683,D,82.02,Pending,922,521.31,East,Medium
269,2023-09-26,5642,B,33.52,Pending,111,232.7,South,High
270,2023-09-27,8679,A,9.55,Active,209,520.76,West,Low
271,2023-09-28,9208,B,78.5,Closed,742,486.9,North,Low
272,2023-09-29,8339,C,45.46,Pending,439,216.63,Central,Low
273,2023-09-30,3205,C,49.24,Active,178,988.31,West,High
274,2023-10-01,2069,B,18.64,Active,931,866.91,South,Low
275,2023-10-02,4444,D,66.09,Active,762,888.7,West,Low
276,2023-10-03,2060,A,55.12,Closed,425,688.72,South,High
277,2023-10-04,3327,B,20.67,Active,328,168.3,East,Medium
278,2023-10-05,4420,B,34.03,Pending,884,572.41,North,Low
279,2023-10-06,1301,C,59.69,Closed,11,823.23,South,High
280,2023-10-07,1606,D,92.49,Pending,252,48.35,East,Low
281,2023-10-08,4170,A,92.04,Pending,856,500.88,West,High
282,2023-10-09,1699,B,28.79,Pending,235,402.16,North,Medium
283,2023-10-10,6088,A,73.56,Closed,648,220.0,South,High
284,2023-10-11,1190,A,77.55,Pending,254,384.47,South,High
285,2023-10-12,1980,B,80.88,Active,566,983.66,North,Low
286,2023-10-13,3975,A,57.08,Active,478,726.01,West,High
287,2023-10-14,7102,C,1.05,Pending,129,306.54,West,Medium
288,2023-10-15,2184,D,76.17,Active,738,609.3,Central,High
289,2023-10-16,4327,D,10.66,Closed,532,254.19,West,High
290,2023-10-17,4394,D,11.69,Closed,100,614.74,North,High
291,2023-10-18,9319,C,60.56,Active,290,897.21,East,Medium
292,2023-10-19,2816,C,98.35,Active,569,561.31,North,Medium
293,2023-10-20,6854,C,24.25,Closed,226,736.01,South,High
294,2023-10-21,7709,D,64.58,Pending,653,458.81,Central,High
295,2023-10-22,1569,A,30.37,Closed,125,528.88,Central,High
296,2023-10-23,6442,C,89.87,Pending,438,698.12,East,Low
297,2023-10-24,2895,B,59.35,Active,821,814.28,South,Medium
298,2023-10-25,3733,C,20.75,Active,564,662.86,West,High
299,2023-10-26,4863,B,26.21,Pending,646,977.72,West,High
300,2023-10-27,8455,D,43.25,Pending,804,821.62,West,Medium
301,2023-10-28,5014,B,12.2,Closed,665,779.39,North,Low
302,2023-10-29,2686,C,7.87,Pending,347,846.65,West,High
303,2023-10-30,4009,C,68.01,Active,698,288.4,South,Medium
304,2023-10-31,8806,A,40.72,Active,751,437.73,Central,Low
305,2023-11-01,1154,D,72.62,Active,183,568.82,North,Medium
306,2023-11-02,2409,B,11.01,Pending,351,467.76,West,Medium
307,2023-11-03,1784,D,60.99,Pending,515,848.98,South,High
308,2023-11-04,9096,C,44.33,Active,796,36.8,East,Medium
309,2023-11-05,8560,A,5.8,Pending,378,217.08,South,High
310,2023-11-06,8343,C,54.48,Closed,708,882.89,Central,Low
311,2023-11-07,8206,C,8.28,Closed,465,68.51,South,High
312,2023-11-08,6596,C,82.77,Pending,678,234.72,South,Medium
313,2023-11-09,6801,B,63.2,Pending,802,357.74,North,Medium
314,2023-11-10,3806,C,55.7,Active,340,753.23,Central,Medium
315,2023-11-11,1537,D,13.35,Pending,141,564.58,West,High
316,2023-11-12,6986,D,28.75,Active,111,955.06,Central,Low
317,2023-11-13,2841,A,49.29,Closed,261,235.6,East,Low
318,2023-11-14,9716,D,63.33,Pending,896,873.4,Central,Medium
319,2023-11-15,7971,C,18.32,Closed,188,290.08,North,High
320,2023-11-16,6625,C,0.89,Pending,856,253.04,West,Medium
321,2023-11-17,3950,D,34.48,Pending,371,503.39,Central,High
322,2023-11-18,8992,A,48.29,Active,358,80.49,West,Low
323,2023-11-19,5780,A,18.44,Active,273,390.46,North,High
324,2023-11-20,3368,D,49.22,Pending,697,362.12,South,High
325,2023-11-21,7655,B,33.85,Pending,799,168.5,East,Medium
326,2023-11-22,9173,B,45.51,Active,604,862.19,Central,High
327,2023-11-23,5495,B,34.75,Closed,449,392.03,West,Low
328,2023-11-24,7002,B,62.85,Pending,706,982.1,Central,Low
329,2023-11-25,7614,D,4.29,Active,417,900.71,North,Low
330,2023-11-26,6919,A,17.09,Pending,872,202.86,South,Medium
331,2023-11-27,1853,C,43.28,Active,861,510.07,North,High
332,2023-11-28,5146,C,35.63,Closed,388,605.79,West,High
333,2023-11-29,4769,D,39.16,Pending,338,820.77,Central,Medium
334,2023-11-30,1574,C,80.38,Pending,311,886.79,West,Low
335,2023-12-01,2148,B,88.63,Closed,920,627.78,North,Low
336,2023-12-02,7293,A,24.87,Pending,928,44.78,Central,Medium
337,2023-12-03,7457,D,83.64,Pending,329,486.46,West,Medium
338,2023-12-04,8509,A,45.88,Pending,47,885.96,Central,Low
339,2023-12-05,5777,D,27.38,Active,656,716.95,East,Low
340,2023-12-06,4854,D,98.55,Active,149,871.44,North,High
341,2023-12-07,3491,D,82.48,Pending,350,677.34,North,Low
342,2023-12-08,4124,D,99.43,Closed,323,53.59,East,Low
343,2023-12-09,6691,A,16.82,Closed,865,968.33,South,High
344,2023-12-10,4051,C,14.38,Pending,927,918.84,West,Medium
345,2023-12-11,1004,D,50.34,Active,120,135.31,South,High
346,2023-12-12,6222,B,63.86,Active,398,121.56,Central,High
347,2023-12-13,6315,D,17.11,Pending,646,543.69,West,Low
348,2023-12-14,5869,A,86.04,Active,197,759.48,West,Medium
349,2023-12-15,1876,D,53.2,Active,413,388.35,West,Low
350,2023-12-16,8027,B,41.09,Closed,439,145.02,East,Medium
351,2023-12-17,5142,A,60.21,Pending,37,515.45,North,High
352,2023-12-18,7966,D,63.5,Active,187,344.19,East,Medium
353,2023-12-19,8079,B,4.28,Active,420,358.25,East,Low
354,2023-12-20,8987,A,99.99,Active,725,648.54,East,Medium
355,2023-12-21,7799,D,36.39,Pending,460,886.75,South,Medium
356,2023-12-22,5465,B,6.15,Pending,110,563.01,East,Medium
357,2023-12-23,1635,A,85.23,Active,187,690.73,North,Low
358,2023-12-24,2693,D,99.3,Closed,471,663.35,West,High
359,2023-12-25,5752,A,81.64,Closed,78,555.63,South,High
360,2023-12-26,9311,B,85.19,Pending,960,317.65,East,Medium
361,2023-12-27,1830,D,62.59,Closed,939,384.02,East,Medium
362,2023-12-28,6177,D,92.23,Active,374,322.55,West,Medium
363,2023-12-29,9932,D,3.57,Pending,810,918.32,West,High
364,2023-12-30,9308,B,76.67,Pending,330,828.35,South,Low
365,2023-12-31,6949,C,67.07,Closed,125,583.55,North,Medium
366,2024-01-01,3838,D,4.96,Pending,316,913.12,South,Medium
367,2024-01-02,2150,B,54.4,Closed,958,887.54,West,Medium
368,2024-01-03,8560,A,51.51,Closed,320,928.42,North,High
369,2024-01-04,2931,A,69.15,Active,475,229.56,East,High
370,2024-01-05,2664,B,7.75,Closed,489,720.33,East,Low
371,2024-01-06,2081,C,80.53,Closed,826,613.13,Central,Medium
372,2024-01-07,1512,B,13.94,Pending,514,736.49,West,Medium
373,2024-01-08,8805,A,41.87,Active,334,270.75,Central,High
374,2024-01-09,6237,A,88.13,Active,71,697.86,South,High
375,2024-01-10,1559,D,56.05,Closed,465,415.73,South,Medium
376,2024-01-11,4672,C,37.96,Pending,376,835.75,North,Medium
377,2024-01-12,8404,B,4.82,Pending,724,797.41,West,Medium
378,2024-01-13,4343,A,67.23,Pending,8,219.24,North,High
379,2024-01-14,5070,A,98.65,Active,696,192.02,North,Medium
380,2024-01-15,1580,A,91.18,Active,980,720.55,South,Low
381,2024-01-16,8004,B,71.73,Closed,164,554.97,South,High
382,2024-01-17,9130,B,10.53,Closed,965,561.63,West,Low
383,2024-01-18,4147,C,23.94,Pending,781,754.99,South,Low
384,2024-01-19,5249,D,18.68,Closed,295,856.42,West,High
385,2024-01-20,2679,D,35.55,Pending,358,246.57,Central,Medium
386,2024-01-21,4506,D,23.55,Active,81,559.98,East,Low
387,2024-01-22,8253,A,24.44,Closed,774,830.67,Central,Medium
388,2024-01-23,3744,D,61.67,Pending,275,874.07,South,Low
389,2024-01-24,6188,A,31.87,Active,921,294.54,East,High
390,2024-01-25,3141,C,67.72,Pending,899,113.11,East,Medium
391,2024-01-26,7617,A,94.79,Closed,617,240.5,North,Low
392,2024-01-27,3479,C,63.85,Pending,821,946.04,East,Low
393,2024-01-28,7484,C,75.17,Active,540,467.85,West,High
394,2024-01-29,8421,D,75.16,Closed,922,424.39,South,Low
395,2024-01-30,5452,D,33.07,Active,47,22.95,South,High
396,2024-01-31,6881,A,1.5,Closed,392,60.5,North,Low
397,2024-02-01,7665,B,5.5,Pending,825,672.01,North,Medium
398,2024-02-02,3849,D,28.21,Active,567,593.93,South,High
399,2024-02-03,8390,D,68.95,Active,79,579.77,North,Low
400,2024-02-04,7905,B,90.67,Pending,513,119.22,East,Low
401,2024-02-05,3489,B,95.88,Active,680,358.54,East,Medium
402,2024-02-06,5611,D,2.58,Active,23,814.23,West,Low
403,2024-02-07,3839,B,99.01,Active,228,183.16,North,High
404,2024-02-08,9527,A,32.25,Active,438,883.86,South,Low
405,2024-02-09,6878,C,84.3,Pending,298,130.26,Central,Low
406,2024-02-10,7303,C,18.03,Active,976,177.46,South,Medium
407,2024-02-11,1851,D,6.29,Active,946,482.97,Central,Medium
408,2024-02-12,2687,D,37.84,Active,260,945.85,Central,Low
409,2024-02-13,7833,A,85.89,Closed,776,336.25,West,Medium
410,2024-02-14,3427,B,22.08,Closed,676,661.64,Central,Low
411,2024-02-15,5000,D,15.4,Pending,10,592.78,East,Low
412,2024-02-16,6052,C,90.98,Pending,628,158.13,East,High
413,2024-02-17,3738,A,93.83,Pending,158,255.69,West,Low
414,2024-02-18,6732,A,1.25,Active,868,930.85,South,High
415,2024-02-19,6387,B,72.74,Closed,784,192.98,South,High
416,2024-02-20,9002,D,30.92,Closed,158,698.06,South,Low
417,2024-02-21,6536,D,37.47,Pending,320,965.05,South,Medium
418,2024-02-22,4913,A,46.91,Closed,876,128.31,East,Low
419,2024-02-23,2066,C,42.68,Pending,202,405.19,East,Low
420,2024-02-24,8723,D,51.5,Active,121,231.69,West,Medium
421,2024-02-25,5380,C,58.24,Closed,139,229.35,West,Medium
422,2024-02-26,5107,A,46.56,Active,674,127.8,West,High
423,2024-02-27,6726,D,70.16,Active,720,653.06,South,Low
